totalScreenTime,socialMediaTime,gamingTime,entertainmentTime,educationTime,productivityTime,numberOfSessions,averageSessionDuration,lateNightUsage,earlyMorningUsage,sevenDayAverage,usageChangePercentage,socialMediaPercentage,gamingPercentage,productivePercentage,riskScore,riskLevel
569.9,221.4,118.2,88.1,0.0,18.7,65,8.8,75,57,579.6,28.4,38.8,20.7,3.3,85,CRITICAL
288.9,111.1,46.7,65.9,34.1,12.5,93,3.1,31,16,261.5,35.3,38.4,16.2,16.1,77,HIGH
78.8,12.0,23.7,30.6,24.9,37.8,20,3.9,4,0,82.7,-12.4,15.2,30.0,79.5,12,LOW
104.0,33.9,29.4,14.5,5.0,32.5,22,4.7,1,4,105.8,-11.8,32.6,28.3,36.1,18,LOW
242.7,57.8,47.9,27.8,22.9,47.5,38,6.4,0,11,243.0,3.6,23.8,19.7,29.0,55,MODERATE
320.3,169.8,44.8,67.1,27.4,11.0,77,4.2,76,17,339.6,43.6,53.0,14.0,12.0,71,HIGH
220.0,78.2,40.4,56.5,31.2,29.1,43,5.1,14,11,201.0,9.9,35.5,18.4,27.4,46,MODERATE
496.1,196.9,94.9,212.3,19.5,12.4,104,4.8,124,19,444.5,1.5,39.7,19.1,6.4,86,CRITICAL
452.4,209.9,40.0,145.6,0.0,12.1,109,4.2,105,46,398.5,46.6,46.4,8.8,2.7,85,CRITICAL
200.4,46.7,19.0,65.6,2.6,49.3,37,5.4,12,17,177.6,31.7,23.3,9.5,25.9,36,MODERATE
116.5,26.7,0.0,10.4,23.9,19.1,35,3.3,0,0,126.8,6.1,22.9,0.0,36.9,25,LOW
200.3,87.4,14.7,40.5,32.1,18.4,43,4.7,19,0,202.7,8.3,43.6,7.3,25.2,37,MODERATE
187.7,57.4,45.6,53.8,21.3,2.4,65,2.9,20,9,200.2,7.0,30.6,24.3,12.6,33,MODERATE
153.4,76.7,53.7,20.1,28.6,38.2,42,3.7,23,8,163.3,-2.7,50.0,35.0,43.6,33,MODERATE
78.5,17.9,19.8,13.1,27.3,5.0,37,2.1,10,0,84.3,-3.9,22.7,25.2,41.1,15,LOW
602.1,254.0,179.2,94.6,6.3,13.8,110,5.5,121,14,582.6,56.9,42.2,29.8,3.3,90,CRITICAL
56.4,22.5,16.9,10.4,45.5,13.8,37,1.5,1,7,54.8,21.6,40.0,30.0,105.2,27,LOW
85.7,27.1,25.7,26.6,29.5,16.5,25,3.4,15,4,92.5,-3.2,31.6,30.0,53.8,11,LOW
342.9,157.7,51.6,69.0,24.7,9.4,84,4.1,88,26,326.5,19.5,46.0,15.0,9.9,70,HIGH
125.5,37.7,23.7,16.2,16.4,24.0,27,4.6,0,3,137.0,12.8,30.0,18.9,32.2,11,LOW
89.4,35.8,8.3,15.2,54.9,10.0,15,6.0,4,4,96.6,-15.5,40.0,9.2,72.6,16,LOW
232.1,53.6,42.9,47.3,27.5,23.6,31,7.5,21,7,212.9,-1.7,23.1,18.5,22.0,34,MODERATE
63.7,25.5,19.1,14.6,17.9,23.2,16,4.0,3,4,65.8,-4.3,40.0,30.0,64.5,14,LOW
122.6,21.0,28.5,45.9,35.1,12.5,16,7.7,9,5,114.5,4.2,17.1,23.2,38.8,11,LOW
136.9,18.9,0.0,22.7,24.3,7.6,11,12.4,2,0,148.3,5.0,13.8,0.0,23.3,11,LOW
138.0,24.8,8.5,4.6,13.8,32.4,25,5.5,1,0,131.0,12.7,18.0,6.2,33.5,5,LOW
248.3,75.2,32.5,55.3,17.8,27.3,28,8.9,0,12,265.5,27.7,30.3,13.1,18.1,32,MODERATE
163.7,20.0,38.5,65.5,35.2,34.4,61,2.7,25,11,150.7,-9.7,12.2,23.5,42.5,59,MODERATE
339.9,143.4,68.2,86.6,20.0,16.7,87,3.9,76,10,291.1,34.3,42.2,20.1,10.8,76,HIGH
78.0,27.8,17.9,11.4,53.0,25.7,10,7.8,6,8,73.9,13.9,35.6,23.0,100.9,21,LOW
430.0,249.8,126.9,45.3,3.3,2.7,83,5.2,167,29,434.1,17.3,58.1,29.5,1.4,95,CRITICAL
243.2,91.1,3.0,54.5,10.4,51.4,47,5.2,12,10,266.4,-0.2,37.5,1.2,25.4,50,MODERATE
216.9,78.5,40.3,32.1,20.6,3.4,31,7.0,45,5,206.6,-16.5,36.2,18.6,11.0,58,MODERATE
337.7,171.1,86.6,54.6,3.7,24.2,76,4.4,59,24,321.1,8.2,50.7,25.7,8.3,63,HIGH
107.4,19.9,21.8,13.6,33.1,5.0,10,10.7,19,7,112.3,9.3,18.5,20.3,35.5,19,LOW
353.3,157.7,17.8,100.1,9.8,16.6,87,4.1,100,5,306.6,18.7,44.6,5.0,7.5,71,HIGH
71.6,28.6,9.6,28.6,30.5,42.1,18,4.0,0,3,71.2,9.6,40.0,13.5,101.3,12,LOW
479.3,187.9,115.1,155.2,18.6,13.0,80,6.0,127,53,449.7,-11.6,39.2,24.0,6.6,93,CRITICAL
150.0,62.6,34.9,10.0,58.9,29.3,31,4.8,39,0,151.6,-17.1,41.8,23.2,58.8,44,MODERATE
75.3,30.1,22.6,3.5,19.8,33.7,29,2.6,7,4,72.1,14.2,40.0,30.0,71.1,19,LOW
474.3,265.3,118.8,87.3,27.6,13.9,98,4.8,209,43,466.5,27.7,55.9,25.0,8.7,92,CRITICAL
222.1,70.0,35.6,32.2,29.5,17.3,38,5.8,32,13,251.0,16.0,31.5,16.0,21.1,53,MODERATE
118.2,20.4,16.8,7.6,31.5,10.9,18,6.6,3,9,128.3,-21.2,17.2,14.2,35.9,19,LOW
49.0,19.6,11.3,19.6,5.0,34.1,8,6.1,2,1,48.2,1.1,40.0,23.1,79.7,28,LOW
67.9,20.9,20.4,3.1,5.0,23.2,29,2.3,9,0,71.4,-24.7,30.8,30.0,41.5,14,LOW
86.4,27.0,5.4,17.5,34.2,21.9,15,5.8,2,6,87.3,13.9,31.3,6.2,64.8,25,LOW
86.2,6.0,15.2,17.1,37.3,30.7,20,4.3,4,0,80.0,13.7,7.0,17.6,78.9,24,LOW
215.1,69.0,61.0,56.6,53.4,0.0,47,4.6,15,26,233.0,32.8,32.1,28.4,24.8,46,MODERATE
203.1,34.8,39.4,26.6,7.7,6.0,45,4.5,38,12,176.0,8.8,17.2,19.4,6.7,33,MODERATE
243.3,62.9,25.8,71.9,20.2,34.4,41,5.9,0,21,246.5,-44.6,25.9,10.6,22.5,41,MODERATE
188.8,66.5,17.0,75.5,51.2,17.0,63,3.0,21,30,203.5,7.6,35.2,9.0,36.1,49,MODERATE
97.0,36.9,0.0,23.0,11.5,13.2,26,3.7,1,5,98.2,-27.8,38.1,0.0,25.5,23,LOW
196.1,78.4,24.1,25.2,47.5,22.6,48,4.1,26,17,183.4,-23.0,40.0,12.3,35.7,35,MODERATE
476.2,317.6,175.3,99.0,0.0,6.8,77,6.2,107,17,456.8,-12.2,66.7,36.8,1.4,93,CRITICAL
507.6,217.5,156.6,129.3,14.3,4.8,73,7.0,113,42,557.9,47.4,42.8,30.8,3.8,95,CRITICAL
322.8,110.1,90.5,67.7,16.6,17.9,54,6.0,96,32,304.8,53.6,34.1,28.1,10.7,78,HIGH
60.3,5.3,18.1,24.1,45.8,26.8,24,2.5,15,9,54.5,9.1,8.7,30.0,120.4,11,LOW
53.6,2.3,16.1,17.5,44.8,16.0,5,10.7,8,0,52.3,-5.8,4.2,30.0,113.5,13,LOW
350.9,195.7,72.5,77.6,23.9,22.6,63,5.6,72,9,358.9,0.4,55.8,20.7,13.3,64,HIGH
477.3,302.0,121.0,148.6,9.0,0.0,95,5.0,161,15,465.7,46.7,63.3,25.3,1.9,85,CRITICAL
358.4,116.9,74.8,67.6,21.7,8.5,70,5.1,47,21,380.5,47.5,32.6,20.9,8.4,76,HIGH
276.0,154.8,109.4,34.8,21.8,27.9,84,3.3,90,5,252.1,29.1,56.1,39.6,18.0,67,HIGH
329.6,108.6,88.4,111.1,34.2,5.5,75,4.4,93,25,332.6,28.5,32.9,26.8,12.0,63,HIGH
360.4,177.9,37.3,74.7,16.8,19.0,59,6.1,90,21,318.6,-1.3,49.4,10.4,10.0,73,HIGH
100.4,28.5,19.0,0.0,20.5,5.0,30,3.3,11,4,98.7,5.1,28.4,19.0,25.4,5,LOW
365.1,127.1,76.7,77.1,17.0,22.8,68,5.4,62,16,305.5,19.7,34.8,21.0,10.9,72,HIGH
333.8,103.7,33.1,87.4,6.7,19.0,98,3.4,58,10,330.5,26.4,31.1,9.9,7.7,69,HIGH
107.1,14.8,8.6,32.4,20.0,15.2,12,8.9,2,7,109.6,0.3,13.9,8.0,32.8,29,LOW
416.8,86.0,30.1,97.6,12.3,24.1,55,7.6,67,37,419.6,-8.3,20.6,7.2,8.7,76,HIGH
216.4,82.6,38.2,70.7,20.1,7.9,45,4.8,21,16,209.6,4.5,38.2,17.7,12.9,32,MODERATE
361.8,174.6,77.1,39.4,0.0,17.0,59,6.1,39,28,316.2,-16.7,48.3,21.3,4.7,72,HIGH
519.6,138.8,109.5,70.9,15.0,0.0,136,3.8,113,19,548.5,20.9,26.7,21.1,2.9,93,CRITICAL
85.2,8.9,17.1,21.1,52.1,9.7,38,2.2,8,7,78.4,10.1,10.4,20.1,72.5,25,LOW
196.8,48.8,21.3,65.9,5.2,13.6,59,3.3,24,13,172.6,43.4,24.8,10.8,9.5,49,MODERATE
399.1,208.2,123.8,107.7,25.6,3.7,65,6.1,108,15,334.6,51.3,52.2,31.0,7.3,77,HIGH
219.6,88.7,57.0,71.7,30.6,33.3,58,3.8,14,9,235.1,5.3,40.4,26.0,29.1,52,MODERATE
211.4,37.0,0.0,14.4,35.4,25.5,39,5.4,17,28,211.5,-9.8,17.5,0.0,28.8,57,MODERATE
98.5,12.0,6.3,21.2,41.6,16.9,18,5.5,10,2,91.2,-6.4,12.2,6.4,59.4,20,LOW
495.6,295.5,40.0,149.3,17.9,15.8,67,7.4,100,40,437.7,31.7,59.6,8.1,6.8,95,CRITICAL
388.0,80.4,80.3,99.4,16.5,11.3,71,5.5,65,30,391.3,-39.8,20.7,20.7,7.2,65,HIGH
75.7,29.9,5.3,3.4,15.6,30.3,27,2.8,1,7,68.3,8.7,39.5,7.0,60.7,23,LOW
267.3,78.9,46.3,44.0,43.1,20.2,45,5.9,11,20,227.4,10.2,29.5,17.3,23.7,37,MODERATE
326.8,100.8,18.4,53.9,30.7,12.4,74,4.4,52,26,303.4,10.3,30.8,5.6,13.2,65,HIGH
90.2,36.1,1.9,0.0,39.1,20.3,21,4.3,1,1,84.6,-5.8,40.0,2.1,65.9,12,LOW
106.1,29.1,18.0,12.4,30.2,33.3,17,6.2,2,5,109.2,31.3,27.4,16.9,59.8,29,LOW
211.2,52.0,32.5,41.4,29.9,39.2,63,3.4,11,8,183.6,-9.9,24.6,15.4,32.7,50,MODERATE
193.2,78.4,22.1,77.3,35.2,15.7,34,5.7,15,22,177.8,-17.8,40.6,11.4,26.3,37,MODERATE
52.8,17.8,15.8,12.2,9.7,10.2,16,3.3,4,3,53.9,12.3,33.7,30.0,37.8,12,LOW
363.2,165.4,15.0,76.2,25.0,17.2,73,5.0,38,12,397.9,40.8,45.5,4.1,11.6,71,HIGH
127.6,22.6,17.2,38.8,26.0,12.3,12,10.6,1,0,128.7,-19.2,17.7,13.5,30.1,8,LOW
51.5,20.6,14.1,20.6,6.3,33.3,14,3.7,0,4,48.8,5.7,40.0,27.4,76.9,6,LOW
236.8,60.2,0.0,50.7,17.4,12.9,38,6.2,16,11,242.0,3.5,25.4,0.0,12.8,43,MODERATE
508.7,229.9,40.0,213.3,11.9,10.6,91,5.6,94,34,507.9,35.2,45.2,7.9,4.4,91,CRITICAL
50.8,20.3,11.2,20.3,24.7,8.3,19,2.7,2,0,52.2,-2.3,40.0,22.0,65.0,11,LOW
516.1,210.0,52.9,140.1,14.7,5.9,110,4.7,113,44,492.5,5.9,40.7,10.2,4.0,83,CRITICAL
287.7,157.5,48.0,124.9,24.9,16.3,58,5.0,35,6,248.9,4.3,54.7,16.7,14.3,67,HIGH
50.5,20.2,2.5,20.2,31.0,37.9,28,1.8,0,1,54.9,10.4,40.0,4.9,136.3,22,LOW
369.2,127.0,67.3,84.2,0.0,1.9,81,4.6,51,13,388.3,21.7,34.4,18.2,0.5,65,HIGH
107.4,23.3,21.5,38.3,21.5,17.2,32,3.4,0,8,117.5,-5.6,21.7,20.0,36.0,9,LOW
70.7,28.3,18.4,17.3,12.6,11.4,36,2.0,1,5,74.3,-9.4,40.0,26.0,34.0,15,LOW
159.5,79.8,17.8,38.5,49.8,0.8,59,2.7,18,2,182.3,0.5,50.0,11.2,31.7,38,MODERATE
351.8,140.9,16.8,113.8,14.6,33.5,70,5.0,105,26,359.2,-13.5,40.0,4.8,13.7,79,HIGH
539.9,289.2,149.1,56.8,7.3,9.7,93,5.8,127,36,479.8,14.8,53.6,27.6,3.1,88,CRITICAL
257.6,65.8,45.2,35.2,33.1,34.8,49,5.3,31,9,263.5,-3.6,25.5,17.5,26.4,39,MODERATE
105.1,14.6,15.1,21.9,49.5,12.8,18,5.8,4,0,113.8,7.6,13.9,14.4,59.3,12,LOW
198.8,42.1,26.1,55.9,29.9,41.8,59,3.4,7,1,212.7,-18.5,21.2,13.1,36.1,40,MODERATE
238.4,81.4,35.1,14.4,48.1,15.0,36,6.6,45,6,256.5,18.4,34.2,14.7,26.5,56,MODERATE
345.3,146.5,79.1,75.4,19.5,12.8,45,7.7,42,27,278.2,11.3,42.4,22.9,9.4,75,HIGH
429.7,179.0,28.2,81.4,30.4,0.0,77,5.6,88,23,357.6,16.6,41.7,6.6,7.1,65,HIGH
96.6,12.4,18.5,19.6,8.0,30.4,13,7.4,6,7,95.8,-6.5,12.8,19.1,39.8,13,LOW
100.0,25.8,16.6,0.0,7.8,6.3,21,4.8,3,12,106.0,-7.1,25.8,16.6,14.1,28,LOW
270.0,36.2,58.2,58.1,22.8,49.4,20,13.5,15,2,280.3,12.4,13.4,21.6,26.8,36,MODERATE
377.5,156.5,70.9,119.6,0.0,16.0,51,7.4,30,8,390.2,18.4,41.5,18.8,4.2,66,HIGH
150.0,37.1,46.3,45.6,53.6,48.2,47,3.2,25,12,151.0,-42.8,24.7,30.8,67.9,37,MODERATE
360.2,147.4,68.9,44.1,9.7,16.0,72,5.0,83,20,353.0,47.8,40.9,19.1,7.2,74,HIGH
219.0,75.2,36.1,43.8,51.6,48.4,40,5.5,24,12,235.4,-24.0,34.3,16.5,45.7,44,MODERATE
222.0,57.6,30.0,37.6,28.8,37.5,46,4.8,28,15,246.6,20.9,26.0,13.5,29.9,54,MODERATE
87.6,35.1,26.3,19.0,9.9,5.0,8,11.0,3,0,93.1,4.7,40.0,30.0,17.0,21,LOW
64.7,25.9,15.1,8.6,18.9,28.2,20,3.2,2,7,65.8,19.4,40.0,23.4,72.8,12,LOW
207.1,39.0,22.0,10.0,22.6,25.6,40,5.2,45,16,190.4,14.5,18.8,10.6,23.2,33,MODERATE
182.7,84.8,14.2,22.8,35.5,49.0,37,4.9,30,20,163.6,19.7,46.4,7.8,46.3,43,MODERATE
347.2,91.4,61.3,126.4,18.0,7.6,75,4.6,51,19,350.0,-9.9,26.3,17.6,7.4,66,HIGH
283.8,170.3,69.8,89.7,27.9,14.6,71,4.0,96,19,275.3,38.7,60.0,24.6,15.0,68,HIGH
186.3,59.4,18.0,34.9,27.5,31.0,53,3.5,16,22,193.9,21.9,31.9,9.7,31.4,58,MODERATE
417.3,181.9,56.1,46.7,32.0,12.7,71,5.9,37,25,417.3,28.8,43.6,13.4,10.7,67,HIGH
458.3,231.0,157.3,106.9,3.2,18.8,74,6.2,130,22,433.7,4.6,50.4,34.3,4.8,97,CRITICAL
316.3,114.9,80.8,77.3,33.7,14.5,65,4.9,69,11,286.3,2.1,36.3,25.5,15.3,76,HIGH
60.5,19.8,12.4,19.2,35.3,11.8,17,3.6,0,4,64.2,1.8,32.7,20.5,77.9,26,LOW
378.3,77.3,93.7,64.2,17.3,20.5,72,5.3,50,26,376.7,-33.0,20.4,24.8,10.0,62,HIGH
382.8,140.3,48.3,110.7,23.8,11.2,61,6.3,50,40,412.6,18.1,36.7,12.6,9.1,72,HIGH
332.8,109.3,83.4,94.8,28.0,15.3,71,4.7,51,36,335.0,43.2,32.8,25.0,13.0,75,HIGH
45.8,11.6,13.1,18.3,24.2,34.6,5,9.2,4,5,44.2,-1.1,25.3,28.7,128.3,23,LOW
302.8,163.0,51.6,81.8,30.2,8.5,69,4.4,30,35,313.1,-11.9,53.8,17.1,12.8,69,HIGH
582.9,253.1,123.6,124.4,9.2,11.6,87,6.7,119,15,570.3,39.9,43.4,21.2,3.6,82,CRITICAL
173.3,20.0,16.3,67.3,24.0,22.5,49,3.5,43,22,175.2,-12.5,11.5,9.4,26.8,45,MODERATE
398.8,154.8,93.5,118.7,36.3,14.1,83,4.8,69,31,426.1,30.5,38.8,23.4,12.6,75,HIGH
113.7,28.4,5.5,23.8,10.1,12.4,21,5.4,5,6,109.2,6.9,24.9,4.8,19.8,16,LOW
383.8,202.7,23.6,64.5,32.4,16.1,54,7.1,34,10,411.6,-19.2,52.8,6.1,12.6,71,HIGH
111.8,12.1,0.0,29.8,30.6,9.2,13,8.6,5,10,109.4,-10.8,10.9,0.0,35.6,27,LOW
492.6,240.0,185.7,91.5,9.4,1.5,83,5.9,86,35,538.5,38.6,48.7,37.7,2.2,97,CRITICAL
214.7,63.0,30.1,36.8,35.7,37.3,46,4.7,20,10,219.4,21.9,29.3,14.0,34.0,59,MODERATE
476.7,232.1,109.1,125.3,11.4,10.0,78,6.1,99,31,488.3,27.5,48.7,22.9,4.5,86,CRITICAL
181.9,48.8,40.8,63.9,71.8,39.7,27,6.7,12,30,160.3,1.1,26.8,22.4,61.3,46,MODERATE
363.9,198.5,54.4,97.0,32.9,30.2,45,8.1,53,9,340.7,21.3,54.5,15.0,17.3,70,HIGH
140.8,34.8,19.8,24.4,30.9,5.0,17,8.3,1,9,140.5,-0.6,24.7,14.1,25.5,17,LOW
95.7,38.3,7.1,28.3,8.7,18.2,32,3.0,4,9,95.7,-1.3,40.0,7.5,28.1,26,LOW
196.3,39.0,40.4,40.7,34.6,11.6,47,4.2,6,5,201.1,0.6,19.9,20.6,23.5,51,MODERATE
270.0,57.8,49.4,30.1,28.3,25.4,39,6.9,45,9,273.3,15.6,21.4,18.3,19.9,40,MODERATE
139.3,6.3,11.0,26.0,33.0,6.9,27,5.2,4,1,150.9,-3.0,4.5,7.9,28.7,8,LOW
509.7,281.3,145.7,113.5,0.0,13.0,101,5.0,125,25,554.7,46.6,55.2,28.6,2.5,98,CRITICAL
371.1,138.4,136.2,92.0,20.3,26.2,60,6.2,83,28,318.2,45.6,37.3,36.7,12.5,68,HIGH
85.9,34.4,18.4,34.4,26.1,32.3,40,2.1,6,7,93.9,0.6,40.0,21.4,68.0,20,LOW
477.0,262.6,148.6,148.0,16.0,10.8,121,3.9,75,43,429.0,77.4,55.0,31.1,5.6,85,CRITICAL
430.0,184.5,212.4,131.0,6.7,12.8,82,5.2,75,36,469.1,9.7,42.9,49.4,4.5,92,CRITICAL
185.0,63.7,53.7,58.1,67.3,42.9,44,4.2,30,10,193.6,-15.3,34.5,29.1,59.6,51,MODERATE
89.5,21.9,12.5,35.8,38.5,14.7,10,8.9,14,8,93.8,-14.1,24.5,14.0,59.4,16,LOW
510.4,233.9,122.3,113.0,3.7,8.5,94,5.4,160,48,536.9,-6.3,45.8,24.0,2.4,94,CRITICAL
263.5,57.6,34.5,74.3,32.2,42.1,31,8.5,19,23,296.8,-7.2,21.9,13.1,28.2,39,MODERATE
345.4,108.7,55.8,36.6,9.7,9.1,45,7.7,95,22,286.6,2.9,31.5,16.2,5.5,72,HIGH
150.0,75.0,52.5,55.0,13.3,1.3,35,4.3,29,12,156.6,-13.8,50.0,35.0,9.7,48,MODERATE
86.7,15.8,14.1,18.4,36.6,20.4,22,3.9,13,4,94.2,-10.5,18.2,16.2,65.8,18,LOW
185.6,84.0,22.3,28.6,42.3,0.7,20,9.3,17,0,211.9,-20.4,45.2,12.0,23.2,38,MODERATE
75.5,15.8,22.7,12.1,31.9,15.6,13,5.8,8,0,76.4,8.7,20.9,30.0,63.0,18,LOW
507.4,198.7,125.1,96.4,22.8,12.2,111,4.6,103,65,443.0,17.0,39.2,24.7,6.9,84,CRITICAL
334.5,127.9,40.7,71.9,26.9,22.9,67,5.0,66,19,273.6,-10.5,38.2,12.2,14.9,73,HIGH
499.9,309.8,46.1,195.4,10.8,6.9,117,4.3,75,51,511.5,74.4,62.0,9.2,3.5,98,CRITICAL
124.6,33.6,25.0,10.9,5.0,38.0,17,7.3,4,3,131.5,5.5,27.0,20.0,34.5,6,LOW
129.0,9.3,0.0,22.2,52.0,34.9,21,6.1,1,2,134.5,5.7,7.2,0.0,67.3,18,LOW
59.4,21.8,10.7,23.8,5.0,25.5,36,1.7,0,0,60.9,5.1,36.7,18.0,51.4,23,LOW
368.1,217.5,99.4,116.7,11.4,25.6,50,7.4,60,37,370.9,4.6,59.1,27.0,10.1,74,HIGH
214.3,83.7,53.3,27.6,11.2,25.3,51,4.2,23,14,206.4,25.6,39.1,24.9,17.1,34,MODERATE
229.8,33.8,53.2,36.8,21.9,29.4,31,7.4,25,6,207.2,-5.0,14.7,23.2,22.3,49,MODERATE
102.4,17.3,8.8,25.4,29.9,5.6,23,4.5,1,8,97.2,-0.4,16.9,8.6,34.6,23,LOW
249.7,54.0,1.4,29.8,55.9,2.6,41,6.1,22,7,215.4,-3.0,21.6,0.6,23.5,47,MODERATE
330.9,150.7,15.0,100.4,41.7,7.3,53,6.2,73,34,308.7,18.0,45.5,4.5,14.8,64,HIGH
119.1,24.8,7.3,0.0,14.7,12.6,20,6.0,1,3,108.4,8.3,20.8,6.1,22.9,26,LOW
227.6,31.6,41.7,30.3,17.3,51.2,39,5.8,9,9,219.7,-18.4,13.9,18.3,30.1,52,MODERATE
499.1,321.2,149.5,70.7,0.0,4.5,126,4.0,107,10,528.0,22.3,64.4,29.9,0.9,96,CRITICAL
96.1,31.7,28.8,14.2,29.9,5.0,5,19.2,0,9,105.3,-0.1,33.0,30.0,36.3,20,LOW
299.4,127.7,71.9,34.5,12.6,40.0,51,5.9,57,11,317.2,15.4,42.7,24.0,17.6,62,HIGH
105.2,11.0,26.4,15.4,29.5,5.0,28,3.8,1,5,115.5,28.8,10.4,25.1,32.8,29,LOW
92.1,27.6,27.6,31.8,38.0,14.5,12,7.7,1,9,100.6,10.5,29.9,30.0,57.1,29,LOW
214.4,52.1,39.7,38.4,43.2,30.0,38,5.6,24,22,209.1,-5.3,24.3,18.5,34.1,59,MODERATE
308.8,125.9,57.5,78.4,13.3,9.3,79,3.9,72,14,299.5,29.1,40.8,18.6,7.3,62,HIGH
115.7,39.3,25.1,1.1,38.9,27.9,7,16.5,10,7,108.9,4.1,33.9,21.7,57.7,19,LOW
590.0,226.6,93.7,156.4,0.0,0.0,121,4.9,95,44,597.4,29.2,38.4,15.9,0.0,84,CRITICAL
346.7,116.9,124.4,31.1,24.9,21.8,85,4.1,92,18,364.0,29.7,33.7,35.9,13.5,78,HIGH
215.4,102.0,42.3,10.0,45.8,2.4,44,4.9,12,29,210.6,30.9,47.3,19.6,22.4,34,MODERATE
374.4,162.4,38.5,42.9,9.9,25.5,69,5.4,82,30,334.6,2.0,43.4,10.3,9.4,79,HIGH
356.5,148.6,70.4,76.9,21.6,18.6,51,7.0,61,22,359.8,20.1,41.7,19.7,11.3,76,HIGH
83.5,25.4,22.4,30.8,20.1,5.0,11,7.6,1,0,86.4,-12.1,30.4,26.8,30.1,12,LOW
376.3,70.0,70.0,93.9,30.1,10.0,83,4.5,54,18,311.7,8.5,18.6,18.6,10.6,63,HIGH
275.0,158.4,89.7,76.9,19.1,10.0,77,3.6,98,5,245.6,16.3,57.6,32.6,10.6,68,HIGH
162.1,63.5,19.1,50.6,29.1,54.2,52,3.1,25,9,185.6,35.2,39.2,11.8,51.4,44,MODERATE
205.0,68.0,33.3,61.1,20.0,0.0,47,4.4,33,15,213.3,-6.5,33.2,16.3,9.8,37,MODERATE
276.7,143.7,86.4,41.5,31.5,23.1,73,3.8,78,16,230.5,21.3,51.9,31.2,19.7,76,HIGH
129.4,20.2,35.4,43.9,23.0,13.1,25,5.2,5,3,125.3,14.6,15.6,27.3,27.9,27,LOW
83.8,27.3,25.2,7.7,27.0,11.6,29,2.9,0,0,90.1,-6.7,32.6,30.0,46.0,23,LOW
100.6,25.2,16.0,10.7,25.4,26.0,31,3.2,3,9,103.2,10.5,25.0,15.9,51.0,6,LOW
93.0,0.0,17.1,14.1,48.9,20.2,10,9.3,5,4,86.9,3.5,0.0,18.4,74.3,8,LOW
369.5,139.2,95.4,20.9,28.8,11.6,56,6.6,84,31,357.9,40.8,37.7,25.8,10.9,72,HIGH
353.0,137.4,114.4,97.2,12.3,22.3,87,4.1,37,9,291.7,17.8,38.9,32.4,9.8,76,HIGH
182.0,52.4,28.7,35.2,20.1,56.5,29,6.3,23,16,155.9,16.3,28.8,15.8,42.1,42,MODERATE
233.9,34.2,57.1,32.3,11.7,35.4,46,5.1,10,1,221.7,1.6,14.6,24.4,20.2,40,MODERATE
99.0,12.2,5.2,34.5,31.0,10.5,26,3.8,1,3,107.9,3.4,12.3,5.3,41.9,13,LOW
